arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
B4 8HR 1_png.rf.B29qeJZkdECj8CR3RnLZ.png,val,HUVEC,8,originais||None||B4,originais,nativo,0.70855,50.36,0.7959,4166.81
C4 0HR 1_png.rf.hxKvqnSdYZdDCX5ISZcP.png,train,HUVEC,0,Originais (1)||None||C4,Originais (1),nativo,0.66008,180.66,0.7523,3128.49
Snap-18_png.rf.0cME4hjYM0557eYc0iSp.png,train,SKOV,0,P2|CARBO|F2,P2,nativo,0.92938,142.62,0.8026,12477.35
Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png,test,SKOV,48,P1|PTX|F2,P1,nativo,0.84425,437.92,0.9126,5937.06
Snap-18_182_png.rf.0olrnxTCWxDIVmtPK3HA.png,test,SKOV,24,P1|PTX|F2,P1,nativo,0.88215,435.6,0.885,8739.3
Snap-18_48_png.rf.dOk2ClCgbcYApxR6XtAY.png,train,SKOV,48,P2|CARBO|F2,P2,nativo,0.80419,102.18,0.9456,7450.27
Snap-18_242_png.rf.sg4fkcHavt8IVG7Qq0vy.png,train,SKOV,72,P1|PTX|F13,P1,nativo,0.87383,502.85,0.9134,7816.86
Snap-18_93_png.rf.vdsK3Pm2Jw59MfN6akCm.png,train,SKOV,24,P2|CARBO|F3,P2,nativo,0.76646,228.9,0.9431,5582.87
C1 0HR 2_png.rf.cofLTSxW3gxzQSKdJLlN.png,train,HUVEC,0,Originais (1)||None||C1,Originais (1),nativo,0.76205,169.42,0.7866,7603.64
D8 0HR 2_png.rf.6vZ69MlNa4M4RK00CrsX.png,train,HUVEC,0,originais||None||D8,originais,nativo,0.79345,195.95,0.7717,8023.95
D6 8HR 2_png.rf.5nPaWGjUg2mp8jLco95k.png,train,HUVEC,8,originais||None||D6,originais,nativo,0.7334,86.2,0.752,5976.4
D6 0HR 1_png.rf.4oKYhxLKMYTeZrBOsGpy.png,train,HUVEC,0,originais||None||D6,originais,nativo,0.68801,92.68,0.729,3331.44
B6 24H 2_png.rf.g9EmKb8Cdam9r5SMpZY2.png,train,HUVEC,24,LUIS RAW||PEP+MET3||B6,LUIS RAW,nativo,0.70096,181.16,0.7904,3728.21
B6 24H 2_png.rf.on5eSF0it6xiMzlvQBIL.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||B6,Migração (PET e PEP) n1 - RAW,nativo,0.65135,18.47,0.7024,1048.23
B8 0H 2_png.rf.fGRjTfUOLs3peda6Im4w.png,val,HUVEC,0,LUIS RAW||PEP+MCC||B8,LUIS RAW,nativo,0.71681,343.03,0.8322,3982.56
F1 0H 2_png.rf.gBMJC85G4OOdikrMFcEc.png,val,HUVEC,0,LUIS RAW||PET||F1,LUIS RAW,nativo,0.62092,165.26,0.8197,1530.37
E6 12H 2_png.rf.TsrNibUXSGYTAPRKTkyw.png,train,HUVEC,12,LUIS RAW||PEP+GB||E6,LUIS RAW,nativo,0.71751,226.17,0.8067,4458.09
E6 12H 2_png.rf.BlAfZigMj5CseFC1MU6w.png,train,HUVEC,12,Migração (PET e PEP) n1 - RAW||PET + NEB 5uM||E6,Migração (PET e PEP) n1 - RAW,nativo,0.68077,183.61,0.6802,3476.07
B1 24H 2_png.rf.aL5f9PxXXKHrQSCq7Jm9.png,train,HUVEC,24,LUIS RAW||PEP||B1,LUIS RAW,nativo,0.72733,273.66,0.8093,4448.0
B1 24H 2_png.rf.4qaCftKSaA7xUEOjNTbd.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B1,Migração (PET e PEP) n3 - RAW,nativo,0.63273,24.2,0.6339,223.65
B1 24h 2_png.rf.DK9BzMN7LNGZvsVA1LaO.png,train,HUVEC,24,Pré-Eclâmpsia||None||B1,Pré-Eclâmpsia,640,0.71244,40.04,0.7883,2891.78
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,test,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW,nativo,0.65195,71.48,0.7897,2218.22
E4 8H 1_png.rf.fGHz8CYQImAFmfxXWS4M.png,val,HUVEC,8,LUIS RAW||PEP+MET3||E4,LUIS RAW,nativo,0.76878,591.71,0.7481,7879.38
E4 8H 1_png.rf.yngxpz19E6gtMv7TZwNY.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET||E4,Migração (PET e PEP) n1 - RAW,nativo,0.66768,39.96,0.6258,819.12
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,test,HUVEC,0,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.68625,620.73,0.9175,4338.41
A3 0H 1_png.rf.SCgzOX4C9GJqoXUBS7cD.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.58522,57.5,0.7184,1046.76
A3 0H 1_png.rf.yPTg0IPNv7ljio0JDYZp.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.61261,31.39,0.8504,1001.45
E7 8H 2_png.rf.hLyWTNk9OoU7ZNBzFrnm.png,train,HUVEC,8,LUIS RAW||PEP+MCC||E7,LUIS RAW,nativo,0.7606,404.15,0.7426,7144.51
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,test,HUVEC,8,LUIS RAW||PEP+MET3||A6,LUIS RAW,nativo,0.71902,178.47,0.8318,3437.4
B7 8H 1_png.rf.lBFggiIcKNjlvkxM2hRK.png,train,HUVEC,8,LUIS RAW||PEP+GB||B7,LUIS RAW,nativo,0.73659,191.05,0.8754,4378.54
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,test,HUVEC,12,LUIS RAW||PEP||E1,LUIS RAW,nativo,0.78071,332.0,0.8138,6114.78
E5 0H 1_png.rf.1vQjKt50QZjN64Psv9NT.png,train,HUVEC,0,Migração (PET e PEP) n1 - RAW||PET||E5,Migração (PET e PEP) n1 - RAW,nativo,0.8387,151.92,0.8479,8931.76
E5 0H 1_png.rf.yqnlcPCi4sN1IZNgGJZF.png,train,HUVEC,0,LUIS RAW||PEP+GB||E5,LUIS RAW,nativo,0.72286,450.31,0.7398,5716.86
C3 24H 2_png.rf.28tWjp0UrmmsCvlzDtvg.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,nativo,0.64766,52.38,0.84,1729.06
C3 24H 2_png.rf.1wSY2UkYqgHSdnWl4F25.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,nativo,0.61858,18.7,0.675,59.99
C3 24H 2_png.rf.OVnzFMX0yCURjr7b0E0V.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,nativo,0.77397,122.16,0.6685,5870.38
E5 24H 2_png.rf.6vTK4uKSq2so4Qygh6pa.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET||E5,Migração (PET e PEP) n1 - RAW,nativo,0.68758,63.83,0.7651,2603.9
E5 24H 2_png.rf.fcYsl0fEP4LX8ywk9lvr.png,train,HUVEC,24,LUIS RAW||PEP+GB||E5,LUIS RAW,nativo,0.69204,287.68,0.8268,3151.16
A6 0HR 1_png.rf.pklUjEh23onboVeWaw4x.png,train,HUVEC,0,Originais (1)||None||A6,Originais (1),nativo,0.72895,210.48,0.7561,5180.6
A6 0HR 1_png.rf.8JKmt3fFlm2xNDphYqOO.png,train,HUVEC,0,originais||None||A6,originais,nativo,0.67037,86.32,0.7338,2545.3
B7 12H 2_png.rf.m99XnRmyLF7wLmP2Pgs0.png,train,HUVEC,12,LUIS RAW||PEP+GB||B7,LUIS RAW,nativo,0.75601,182.74,0.8675,4852.1
D8 8HR 1_png.rf.IJVQBws0SzQ90LsiLaCx.png,train,HUVEC,8,originais||None||D8,originais,nativo,0.84459,288.48,0.8158,6594.82
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,test,HUVEC,0,originais||None||D1,originais,nativo,0.72885,178.81,0.8506,5684.3
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,test,HUVEC,0,Originais (1)||None||D1,Originais (1),nativo,0.76249,128.78,0.6794,7849.86
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,test,HUVEC,8,Originais (1)||None||A1,Originais (1),nativo,0.70226,77.0,0.8594,3851.67
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,test,HUVEC,8,originais||None||A1,originais,nativo,0.73343,58.14,0.8489,5258.91
C6 0HR 2_png.rf.zyNAR1CwDZpAV3QTNmAK.png,train,HUVEC,0,Originais (1)||None||C6,Originais (1),nativo,0.71752,191.71,0.7545,6250.27
E5 0H 2_png.rf.8p5NkHtrp3u9YOFn9tyS.png,train,HUVEC,0,Migração (PET e PEP) n1 - RAW||PET||E5,Migração (PET e PEP) n1 - RAW,nativo,0.87089,102.66,0.9092,9813.55
E5 0H 2_png.rf.7Z9jfrXhtVmhLQrXDviu.png,train,HUVEC,0,LUIS RAW||PEP+GB||E5,LUIS RAW,nativo,0.70788,373.57,0.7719,4558.0
A8 8HR 2_png.rf.Sl3eGhF0H3bFdH9ednkA.png,train,HUVEC,8,Originais (1)||None||A8,Originais (1),nativo,0.79137,160.88,0.9088,8057.94
A8 8HR 2_png.rf.EJjkqscJBx39tXPg49pe.png,train,HUVEC,8,originais||None||A8,originais,nativo,0.76865,82.21,0.8452,6994.49
C2 0HR 1_png.rf.Yu3NwZ7ww6snJr7UM5dr.png,train,HUVEC,0,Originais (1)||None||C2,Originais (1),nativo,0.68242,82.49,0.7405,4490.19
C5 0HR 2_png.rf.RILXqlwl7sgu60wnNZj4.png,train,HUVEC,0,Originais (1)||None||C5,Originais (1),nativo,0.66322,172.61,0.7562,3691.78
D3 0HR 1_png.rf.UTdVqreVFkXPnGSBUDx1.png,train,HUVEC,0,Originais (1)||None||D3,Originais (1),nativo,0.78047,231.71,0.8349,8346.9
D3 0HR 1_png.rf.qw9FMyUJOaS44J6sP1Ql.png,train,HUVEC,0,originais||None||D3,originais,nativo,0.6722,117.61,0.883,3388.58
A7 8HR 2_png.rf.XLvSf5YShAgMNDunOMd0.png,train,HUVEC,8,Originais (1)||None||A7,Originais (1),nativo,0.73513,136.86,0.872,5928.25
A7 8HR 2_png.rf.dobLaJPosWiABykLZnGP.png,train,HUVEC,8,originais||None||A7,originais,nativo,0.76363,94.11,0.8429,6859.91
A6 0HR 2_png.rf.JMN4V6CmL5NKT47K3mPk.png,train,HUVEC,0,Originais (1)||None||A6,Originais (1),nativo,0.6909,190.92,0.8043,3427.79
A6 0HR 2_png.rf.U8U5IbHwqCKRxWcOiaKk.png,train,HUVEC,0,originais||None||A6,originais,nativo,0.6486,78.86,0.8401,2019.79
C3 0HR 2_png.rf.fB58mPGwNgzpEsam8ilX.png,train,HUVEC,0,Originais (1)||None||C3,Originais (1),nativo,0.68215,129.08,0.7662,4443.89
D2 0HR 2_png.rf.hkAX0DMAdAmUUEg8u8ih.png,val,HUVEC,0,Originais (1)||None||D2,Originais (1),nativo,0.78086,156.74,0.798,8381.08
D2 0HR 2_png.rf.VDReyc4tQ21pFdV55mR5.png,val,HUVEC,0,originais||None||D2,originais,nativo,0.69567,117.88,0.8129,4647.72
C1 0HR 1_png.rf.io0V83H2okswSGviYmJX.png,train,HUVEC,0,Originais (1)||None||C1,Originais (1),nativo,0.70013,115.41,0.7099,5083.66
B1 24H 1_png.rf.0deSBQxLbdnRzJ0lo2os.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B1,Migração (PET e PEP) n3 - RAW,nativo,0.62212,18.73,0.7209,91.11
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,test,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW,nativo,0.64635,43.44,0.764,520.65
B1 24H 1_png.rf.HqYokt9sZNbgk1oXPrdr.png,train,HUVEC,24,LUIS RAW||PEP||B1,LUIS RAW,nativo,0.68533,253.79,0.7947,3522.69
A7 0HR 2_png.rf.0uB1uwLgRUfuU7JqF0kR.png,train,HUVEC,0,originais||None||A7,originais,nativo,0.67516,63.78,0.82,2646.88
A7 0HR 2_png.rf.vAp3lFd9w8FX4VCJhMZl.png,train,HUVEC,0,Originais (1)||None||A7,Originais (1),nativo,0.64294,192.55,0.839,2165.9
D2 24H 1_png.rf.3dVBVsdA0iITfaZ15lQH.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,nativo,0.63613,26.98,0.7634,203.01
D2 24H 1_png.rf.Bc0RVmhmtihtWRrOu3Sx.png,val,HUVEC,24,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,nativo,0.67807,65.34,0.7667,2550.78
D4 12HR 2_png.rf.3mHz6QXfVp3bYuBorSyN.png,test,HUVEC,12,originais||None||D4,originais,nativo,0.7889,113.38,0.8353,7067.21
B1 24HR 1_png.rf.ZOXgAwm7pCyA0PxFBFkk.png,test,HUVEC,24,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.81484,209.93,0.8025,5384.89
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,test,HUVEC,24,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.62773,28.0,0.9148,1783.55
A4 24h 1_png.rf.33dy4hIcNF63XsaZetPY.png,train,HUVEC,24,Controle+Saudavel||None||A4,Controle+Saudavel,640,0.65401,100.96,0.922,2781.64
A4 24H 1_png.rf.gJwCrLc590rY2WH4Ned6.png,train,HUVEC,24,LUIS RAW||PEP+MCC||A4,LUIS RAW,nativo,0.82035,1117.73,0.8691,4638.45
B1 24 1_png.rf.4kESSl903ETfZ8RacXmq.png,train,HUVEC,24,Pré-Eclâmpsia||None||B1,Pré-Eclâmpsia,640,0.71207,45.88,0.7314,3609.96
B6 24HR 2_png.rf.JjCpIX0SSKPtprUC1AUV.png,train,HUVEC,24,originais||None||B6,originais,nativo,0.65302,23.33,0.8188,1553.71
D5 12HR 2_png.rf.R9D5BB9IshtABWWWswKd.png,train,HUVEC,12,originais||None||D5,originais,nativo,0.81929,77.87,0.7906,8249.33
A2 24HR 1_png.rf.Ui49cupMaTI531NWJK6R.png,train,HUVEC,24,originais||None||A2,originais,nativo,0.79781,92.42,0.6806,7804.88
A2 24HR 1_png.rf.zHEN1vEwcIUcwRWJIw0w.png,train,HUVEC,24,Originais (1)||None||A2,Originais (1),nativo,0.69002,30.96,0.6884,2501.92
B3 24HR 2_png.rf.KdQdPqIplBH5LttSEuYM.png,train,HUVEC,24,originais||None||B3,originais,nativo,0.74505,75.31,0.8639,5624.57
D7 12HR 2_png.rf.Mx3Pfn3ormlryV7b2yzz.png,train,HUVEC,12,originais||None||D7,originais,nativo,0.80022,284.29,0.8732,6702.75
B4 12hr 1_png.rf.67F2wb5gCj5GQZg22JeL.png,val,HUVEC,12,Pré-Eclâmpsia||None||B4,Pré-Eclâmpsia,640,0.69278,58.47,0.8925,4121.42
B4 12HR 1_png.rf.KaR1X3qveVurnKSmeOz8.png,val,HUVEC,12,Pré-Eclâmpsia||None||B4,Pré-Eclâmpsia,nativo,0.74942,51.53,0.7599,6183.11
B4 12HR 1_png.rf.guNhxNPcFlti4hUxkpql.png,val,HUVEC,12,Originais (1)||None||B4,Originais (1),nativo,0.70099,47.45,0.7923,4172.98
B4 12hr 2_png.rf.6MFKtv79wCTIK0YDsTYm.png,train,HUVEC,12,Controle+Saudavel||None||B4,Controle+Saudavel,640,0.60372,49.72,0.8548,1494.22
B4 12HR 2_png.rf.T9zwB1CKrAIJWPxFGcE5.png,train,HUVEC,12,Controle+Saudavel||None||B4,Controle+Saudavel,nativo,0.76274,60.72,0.8666,7194.11
B4 12HR 2_png.rf.jxZ0dYKAVdNPmJQFPifR.png,val,HUVEC,12,Originais (1)||None||B4,Originais (1),nativo,0.70917,54.16,0.8377,5207.58
B6 24h 1_png.rf.HqRokqEzDfBP5O3ZtezT.png,test,HUVEC,24,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,640,0.63293,76.15,0.8859,2033.34
B6 24H 1_png.rf.j9lG9KfzRzSXyhye5PlS.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||B6,Migração (PET e PEP) n1 - RAW,nativo,0.70883,38.9,0.581,2652.91
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,test,HUVEC,24,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,640,0.61853,53.86,0.8808,965.16
B6 24H 1_png.rf.z1gnHGqIpgOdff4cmlwF.png,train,HUVEC,24,LUIS RAW||PEP+MET3||B6,LUIS RAW,nativo,0.6514,145.3,0.8064,2129.05
D3 12HR 2_png.rf.cc5ORiU1L0tYW9JwzMnT.png,train,HUVEC,12,originais||None||D3,originais,nativo,0.80965,134.28,0.8549,6830.49
D3 12HR 2_png.rf.nlwr0hPwCsrwhcGywwyF.png,train,HUVEC,12,Originais (1)||None||D3,Originais (1),nativo,0.64946,38.11,0.8275,2552.28
D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png,test,HUVEC,24,originais||None||D4,originais,nativo,0.70419,56.91,0.7046,4835.98
D7 24HR 2_png.rf.XWVFfZxkpp5fMF6O9txt.png,train,HUVEC,24,originais||None||D7,originais,nativo,0.7834,309.61,0.7705,6040.49
C2 24H 2_png.rf.nK9nS1IZLcocNvwfcE7w.png,val,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||C2,Migração (PET e PEP) n3 - RAW,nativo,0.64823,23.52,0.6538,304.38
C2 24H 2_png.rf.3iAkFoyGnnXiK0b7aJfO.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PET||C2,Migração (PET e PEP) n2 - RAW,nativo,0.74478,56.7,0.7721,4730.92
B4 0HR 1_png.rf.vUKPySAwB6c4ma0fBFDE.png,val,HUVEC,0,originais||None||B4,originais,nativo,0.64829,60.59,0.8156,1789.88
B4 0HR 1_png.rf.Sr70U7YhZrmMlrGO89Iv.png,val,HUVEC,0,Originais (1)||None||B4,Originais (1),nativo,0.74359,128.47,0.7303,6908.78
B6 8HR 1_png.rf.ezE4khDWYhT8i1EBIy2m.png,train,HUVEC,8,Originais (1)||None||B6,Originais (1),nativo,0.65685,29.05,0.773,2249.8
B6 8HR 1_png.rf.p2EJqFyR41XjsHo60u8I.png,train,HUVEC,8,originais||None||B6,originais,nativo,0.67718,39.94,0.7628,3380.13
Snap-15_60_png.rf.AUB9Da86Zc4f2GiWRpgF.png,test,SKOV,24,P2|CT|F15,P2,nativo,0.63548,86.1,0.8254,1802.93
Snap-15_134_png.rf.PT0eio2SodTEch0Oowqe.png,val,SKOV,48,P1|CT|F15,P1,nativo,0.7102,98.26,0.941,2315.9
Snap-15_194_png.rf.jyDxznPzUcDKPrXPinis.png,train,SKOV,24,P1|CT|F14,P1,nativo,0.75852,104.12,0.9607,5230.7
Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png,test,SKOV,48,P2|CT|F15,P2,nativo,0.75193,126.39,0.9491,4185.52
Snap-15_png.rf.QpISbBkKeIMbu6a2p8wX.png,train,SKOV,0,P2|CT|F14,P2,nativo,0.95789,121.91,0.8022,13921.65
Snap-19_png.rf.54NjFnaveSX8V7dKaXCe.png,train,SKOV,0,P2|CARBO|F3,P2,nativo,0.8862,162.11,0.8029,11669.93
Snap-19_179_png.rf.LbI9UqUYPM9MI69fTMLd.png,train,SKOV,24,P1|PTX|F3,P1,nativo,0.8934,241.41,0.9544,11554.16
Snap-19_45_png.rf.h26s2hEWJo5PGBPNWzbv.png,train,SKOV,48,P2|CARBO|F3,P2,nativo,0.85023,73.08,0.9193,10078.61
Snap-19_119_png.rf.rL8vPl5ijPVO0I4eyA1W.png,train,SKOV,48,P1|PTX|F3,P1,nativo,0.87456,169.36,0.9101,10652.98
Snap-19_90_png.rf.LTW9T6mUiyeyn573QLTY.png,train,SKOV,24,P2|CARBO|F4,P2,nativo,0.77961,201.53,0.9039,7791.81
Snap-20_png.rf.CTNy3Rv16m36Khsp3xJc.png,train,SKOV,0,P2|CARBO|F4,P2,nativo,0.94486,167.26,0.8068,13522.3
Snap-20_133_png.rf.wotHCE8IfJ6UYBmxNc4i.png,train,SKOV,48,P1|PTX|F4,P1,nativo,0.85443,326.45,0.9682,9574.86
Snap-20_59_png.rf.cuUsjVgyqu6QpoUYSKTl.png,train,SKOV,48,P2|CARBO|F4,P2,nativo,0.84224,163.78,0.9603,5797.26
Snap-20_193_png.rf.OGPjmr6AN3p8v8qf5RaD.png,train,SKOV,24,P1|PTX|F4,P1,nativo,0.89366,291.6,0.9494,11765.24
Snap-20_104_png.rf.lu9wLu7mqVxquLAseXNa.png,test,SKOV,24,P2|CARBO|F5,P2,nativo,0.7328,208.8,0.9232,5864.78
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,test,HUVEC,8,Originais (1)||None||A1,Originais (1),nativo,0.70274,68.57,0.8465,3567.67
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,test,HUVEC,8,originais||None||A1,originais,nativo,0.69709,61.27,0.8655,4035.79
Snap-17_102_png.rf.L35h25Y208weJrkXRPl5.png,train,SKOV,24,P2|CARBO|F2,P2,nativo,0.78946,256.64,0.9427,5402.24
Snap-17_191_png.rf.VaUfcjat6tcky3mpq2eY.png,train,SKOV,24,P1|PTX|F1,P1,nativo,0.86278,211.19,0.9627,10015.68
Snap-17_57_png.rf.eHlOfkRwkZdoOjiE6Mxj.png,val,SKOV,48,P2|CARBO|F1,P2,nativo,0.83086,147.78,0.9568,5496.83
Snap-17_131_png.rf.w04wolCzNfH78hvtq37N.png,train,SKOV,48,P1|PTX|F1,P1,nativo,0.85394,311.52,0.9713,8614.73
Snap-17_png.rf.wQPtTYXFL94gKLen5q7D.png,val,SKOV,0,P2|CARBO|F1,P2,nativo,0.90626,193.83,0.7779,10642.57
Snap-17_252_png.rf.bulki6Z5lbUSEa4uMo6D.png,val,SKOV,72,P1|PTX|F12,P1,nativo,0.8671,582.32,0.916,4447.34
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,test,HUVEC,8,LUIS RAW||PEP||E1,LUIS RAW,nativo,0.79425,300.23,0.8312,7151.06
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,test,HUVEC,8,LUIS RAW||PEP||E1,LUIS RAW,nativo,0.76855,327.06,0.8382,6267.8
E2 8H 2_png.rf.A1FxKlPrQIHjZQ9mdCtD.png,train,HUVEC,8,LUIS RAW||PEP||E2,LUIS RAW,nativo,0.78637,336.78,0.8106,6196.88
B4 24HR 2_png.rf.MNt9ujzb7mPjEN7Zxr8a.png,val,HUVEC,24,originais||None||B4,originais,nativo,0.72445,42.54,0.86,5128.94
B4 24HR 2_png.rf.AY9pmWT2DlfnRIvRg3as.png,val,HUVEC,24,Originais (1)||None||B4,Originais (1),nativo,0.6954,28.29,0.8108,3298.09
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,test,HUVEC,8,LUIS RAW||PEP+MET3||A6,LUIS RAW,nativo,0.72354,336.89,0.7978,3867.88
A7 8H 1_png.rf.imdEFsHE1mYvXy3RRzPv.png,train,HUVEC,8,LUIS RAW||PEP+GB||A7,LUIS RAW,nativo,0.78909,328.7,0.8359,5766.19
B6 8H 1_png.rf.qDArlyAzfww0cgi6FENm.png,train,HUVEC,8,LUIS RAW||PEP+MET3||B6,LUIS RAW,nativo,0.69824,199.61,0.8169,4125.98
B6 8H 1_png.rf.EJolHbiqIDsWm7XwyCFX.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||B6,Migração (PET e PEP) n1 - RAW,nativo,0.75676,136.63,0.7694,6448.9
E4 8H 2_png.rf.rdW8kPWMuRg50sCI0meX.png,val,HUVEC,8,LUIS RAW||PEP+MET3||E4,LUIS RAW,nativo,0.77066,502.73,0.7363,7744.34
E4 8H 2_png.rf.jlW5HpmI2m57qY2TSPDs.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET||E4,Migração (PET e PEP) n1 - RAW,nativo,0.61669,51.88,0.7871,911.29
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,test,HUVEC,24,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.80976,252.5,0.873,6862.84
A3 24H 1_png.rf.ZkTdxPADA9eK1ZS8wJQP.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.63843,98.06,0.7674,1340.99
A3 24H 1_png.rf.ZNOTbMmKYzpfIiFiyzJl.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.61824,22.76,0.6636,242.68
E6 24H 2_png.rf.xPxa5zfkuhQQMYWCu9UE.png,train,HUVEC,24,LUIS RAW||PEP+GB||E6,LUIS RAW,nativo,0.78794,276.66,0.7631,6979.3
E6 24H 2_png.rf.c0Q0aeG3uzgZqNDW0NS5.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET + NEB 5uM||E6,Migração (PET e PEP) n1 - RAW,nativo,0.68686,109.44,0.7729,2364.27
E3 8H 1_png.rf.ydjYbDPXt2Ll0FuF5dXC.png,train,HUVEC,8,LUIS RAW||PEP+MET3||E3,LUIS RAW,nativo,0.73055,525.37,0.8177,5756.22
E3 8H 1_png.rf.UfzabC0joqrxRr8cl3uJ.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PET||E3,Migração (PET e PEP) n1 - RAW,nativo,0.68637,43.66,0.8366,1265.43
B5 8H 1_png.rf.OgNl7n5SIXkGIuU1InnN.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B5,Migração (PET e PEP) n1 - RAW,nativo,0.67225,78.88,0.6802,2409.83
B5 8H 1_png.rf.ge3SG45JV1gKhWc7ifdS.png,val,HUVEC,8,LUIS RAW||PEP||B5,LUIS RAW,nativo,0.72763,279.67,0.8491,5132.47
B5 8H 2_png.rf.SgUUZx4vrliHz3cQhHZG.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP||B5,Migração (PET e PEP) n1 - RAW,nativo,0.65202,42.08,0.6733,1510.77
B5 8H 2_png.rf.p8rDOeacacLxFiD0aAkc.png,val,HUVEC,8,LUIS RAW||PEP||B5,LUIS RAW,nativo,0.71187,255.05,0.8897,3146.72
D5 0HR 2_png.rf.e3GMlxLnQsu8m7577fEm.png,train,HUVEC,0,originais||None||D5,originais,nativo,0.7253,149.72,0.8794,5629.48
D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,test,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,Migração (PET e PEP) n1 - RAW,nativo,0.6925,59.6,0.9177,2378.17
D4 0H 2_png.rf.eVEb58gAMbcellIRwKuX.png,test,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||D4,Migração (PET e PEP) n3 - RAW,nativo,0.65971,63.58,0.8076,1490.82
D4 0H 2_png.rf.yvJgcXkN2Fgn4uyudNxv.png,train,HUVEC,0,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D4,Migração (PET e PEP) n2 - RAW,nativo,0.61599,65.87,0.8375,1417.84
